epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1325,1.91779,3.54397,2.34948,0.00389,0.96875,0.03785,0.01952,1.29013,3.30894,2.22069,5.001e-05,5.001e-05,5.001e-05
2,30.4783,1.97268,3.54106,2.43046,0.00422,0.9375,0.0741,0.03296,1.3451,3.31733,2.18041,0.000116689,0.000116689,0.000116689
3,38.025,1.57062,3.30355,2.06048,0.00477,0.9375,0.27655,0.0904,1.80399,3.46277,2.72667,0.000183363,0.000183363,0.000183363
4,45.8105,1.4132,3.04592,1.95706,0.00509,0.95312,0.29246,0.13357,1.63059,3.40669,2.57092,0.000250028,0.000250028,0.000250028
5,53.4433,1.41466,2.78581,1.9058,0.00839,0.95312,0.48428,0.20107,1.37194,3.2479,2.42831,0.00031668,0.00031668,0.00031668
6,60.4824,1.3707,2.53096,1.85222,0.01037,0.96875,0.3629,0.19716,1.34707,3.15169,2.34088,0.000383316,0.000383316,0.000383316
7,67.4405,1.36732,2.25696,1.86244,0.0081,0.95312,0.2708,0.11828,1.45122,3.19609,2.42631,0.000449932,0.000449932,0.000449932
8,75.0457,1.41505,2.14319,1.84829,0.00585,0.9375,0.18491,0.06425,1.71511,3.32412,2.72839,0.000516523,0.000516523,0.000516523
9,82.3717,1.39849,2.07733,1.88654,0.00498,0.90625,0.07724,0.02233,2.31039,3.51072,3.94918,0.000583085,0.000583085,0.000583085
10,89.2791,1.45693,2.02125,1.88892,0.00512,0.95312,0.3732,0.20687,1.39217,2.81112,2.47844,0.000649616,0.000649616,0.000649616
11,96.3157,1.48314,2.0041,1.90812,0.00302,0.96875,0.27272,0.11669,1.61213,3.07921,2.9055,0.00071611,0.00071611,0.00071611
12,103.712,1.50539,2.09875,1.89685,0.00292,0.98438,0.31092,0.14539,1.7276,3.03642,3.11413,0.000782564,0.000782564,0.000782564
13,111.074,1.45021,2.1266,1.91304,0.93602,0.3125,0.38528,0.13812,1.7119,2.93537,2.8992,0.000848974,0.000848974,0.000848974
