epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3857.38,1.56427,1.64682,1.98324,0.79478,0.32812,0.30928,0.14373,1.78985,2.06176,2.72172,0.00163843,0.00163843,0.00163843
44,3952.45,1.49752,1.54676,1.87232,0.84398,0.25,0.35724,0.19014,1.54406,2.6211,2.42072,0.00163707,0.00163707,0.00163707
45,4046.8,1.53108,1.55498,1.92243,0.84705,0.32812,0.38469,0.19807,1.63409,1.79561,2.48606,0.00163567,0.00163567,0.00163567
46,4140,1.51826,1.62741,1.98091,0.87494,0.32791,0.36201,0.14995,1.91811,1.93281,2.8523,0.00163424,0.00163424,0.00163424
47,4231.65,1.52865,1.55145,1.99157,0.91439,0.40625,0.42498,0.18128,1.69225,1.93144,2.63771,0.00163277,0.00163277,0.00163277
48,4325.9,1.56111,1.53873,1.96726,0.99642,0.375,0.43597,0.23966,1.57367,1.97912,2.3584,0.00163128,0.00163128,0.00163128
49,4423.93,1.51847,1.52532,1.94024,0.89617,0.40625,0.42118,0.18013,1.93727,1.5167,2.71712,0.00162976,0.00162976,0.00162976
50,4515.59,1.43983,1.36164,1.90767,0.84179,0.40625,0.37234,0.15174,2.03157,1.79154,2.96517,0.0016282,0.0016282,0.0016282
51,4615.47,1.43046,1.33457,1.89479,0.73589,0.39062,0.30708,0.14155,1.88788,2.08875,2.7317,0.00162661,0.00162661,0.00162661
52,4709.21,1.39844,1.36229,1.84797,0.76164,0.26562,0.26721,0.11687,2.0038,2.22485,2.85837,0.001625,0.001625,0.001625
53,4801.56,1.49892,1.48704,1.92836,0.80886,0.29688,0.38574,0.11667,2.40851,2.28391,3.33184,0.00162335,0.00162335,0.00162335
54,4900.8,1.50166,1.45236,1.95266,0.87226,0.32812,0.36451,0.15577,2.13994,1.80947,3.21886,0.00162167,0.00162167,0.00162167
55,4999.89,1.48027,1.38198,1.91241,0.85988,0.32812,0.53335,0.18639,1.91868,1.73267,2.94052,0.00161996,0.00161996,0.00161996
