epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1728.14,1.44566,1.34818,1.84705,0.54436,0.09375,0.01741,0.00745,3.37667,5.26427,4.35184,0.00163977,0.00163977,0.00163977
43,1769.79,1.48332,1.37914,1.86116,0.53957,0.10938,0.02061,0.00835,2.74089,4.072,3.68959,0.00163843,0.00163843,0.00163843
44,1810.39,1.47099,1.33679,1.88624,0.61523,0.1966,0.10382,0.03721,2.67611,3.17888,3.80411,0.00163707,0.00163707,0.00163707
45,1854.45,1.40907,1.20533,1.80472,0.68994,0.09375,0.10547,0.0341,2.66148,3.24463,3.65317,0.00163567,0.00163567,0.00163567
46,1897.64,1.47209,1.3648,1.92294,0.80005,0.32826,0.33616,0.15401,2.08512,3.76518,3.69694,0.00163424,0.00163424,0.00163424
47,1939.98,1.43618,1.25212,1.86328,0.94901,0.25,0.32409,0.15494,1.99408,2.28189,3.123,0.00163277,0.00163277,0.00163277
48,1982.78,1.52495,1.30649,1.98066,0.73093,0.25,0.19543,0.09132,2.06325,2.84299,2.89667,0.00163128,0.00163128,0.00163128
49,2023.46,1.40656,1.29299,1.85021,0.86922,0.28125,0.30311,0.15353,2.01591,1.87746,2.82678,0.00162976,0.00162976,0.00162976
50,2063.98,1.38502,1.23593,1.83449,0.90941,0.29688,0.45055,0.21806,2.02723,1.72043,2.82144,0.0016282,0.0016282,0.0016282
51,2106.58,1.46194,1.30373,1.87712,0.95231,0.29688,0.33404,0.18122,1.88717,1.91303,2.76518,0.00162661,0.00162661,0.00162661
52,2149.95,1.37876,1.22272,1.84098,0.86316,0.3125,0.34311,0.20364,1.61962,2.12992,2.5045,0.001625,0.001625,0.001625
53,2196.73,1.40939,1.29085,1.80438,0.8532,0.375,0.39067,0.21084,1.54182,2.23136,2.39825,0.00162335,0.00162335,0.00162335
54,2239.03,1.44679,1.26912,1.82464,0.90345,0.26131,0.33669,0.14722,1.95378,2.48434,2.95846,0.00162167,0.00162167,0.00162167
55,2280.3,1.38368,1.26891,1.7735,0.69283,0.25,0.21947,0.10125,2.18182,3.38046,3.02189,0.00161996,0.00161996,0.00161996
56,2329.16,1.33357,1.14264,1.73808,0.91582,0.23167,0.31188,0.16442,1.80344,3.04876,2.735,0.00161822,0.00161822,0.00161822
57,2370.88,1.43014,1.24236,1.83408,0.88091,0.29995,0.35133,0.18358,1.76049,2.41478,2.68639,0.00161645,0.00161645,0.00161645
58,2415.85,1.40779,1.2782,1.78901,0.78752,0.29604,0.31767,0.13216,1.90246,2.76873,2.83052,0.00161464,0.00161464,0.00161464
59,2459.77,1.41526,1.20699,1.85622,0.90079,0.32812,0.38096,0.20357,1.78247,2.19606,2.9584,0.00161281,0.00161281,0.00161281
60,2502.5,1.42333,1.27001,1.79991,0.8593,0.35913,0.37851,0.22912,1.58355,2.7347,2.41181,0.00161095,0.00161095,0.00161095
61,2541.71,1.37256,1.14398,1.73778,0.79453,0.26562,0.2873,0.17865,1.52299,2.47142,2.2769,0.00160905,0.00160905,0.00160905
62,2582.87,1.46424,1.25489,1.86849,0.95153,0.26562,0.35982,0.18721,1.87617,1.90295,2.73883,0.00160713,0.00160713,0.00160713
63,2624.32,1.34697,1.18925,1.76486,0.89786,0.3125,0.37314,0.17929,1.8719,2.49964,2.92299,0.00160518,0.00160518,0.00160518
64,2664.09,1.35393,1.17946,1.73638,0.84982,0.32812,0.40385,0.22402,1.6304,2.5967,2.48866,0.00160319,0.00160319,0.00160319
65,2703.13,1.35231,1.19606,1.77664,0.80083,0.34375,0.38672,0.22317,1.55355,2.29507,2.31203,0.00160118,0.00160118,0.00160118
66,2740.68,1.40663,1.18045,1.8383,0.82204,0.3125,0.32837,0.16206,1.89217,2.78097,2.68934,0.00159913,0.00159913,0.00159913
67,2777.67,1.34632,1.24976,1.80662,0.84956,0.32812,0.34059,0.14724,1.97723,2.5007,2.73753,0.00159706,0.00159706,0.00159706
68,2815.07,1.3688,1.12637,1.79379,0.73299,0.1875,0.20766,0.09913,2.22453,2.62314,3.07717,0.00159496,0.00159496,0.00159496
69,2853.75,1.34618,1.20989,1.76203,0.75274,0.14062,0.14761,0.05375,2.36724,2.67144,3.19034,0.00159282,0.00159282,0.00159282
70,2893.93,1.36984,1.18412,1.77414,0.55916,0.23438,0.08221,0.03478,2.5836,3.30463,3.3324,0.00159066,0.00159066,0.00159066
71,2933.28,1.27194,1.07397,1.72018,0.7106,0.18206,0.15921,0.06699,2.26674,2.67452,3.06519,0.00158847,0.00158847,0.00158847
72,2971.39,1.43293,1.17518,1.85428,0.6025,0.125,0.08249,0.02776,2.32669,3.56815,3.3757,0.00158624,0.00158624,0.00158624
73,3014.79,1.36812,1.20921,1.74927,0.9135,0.29688,0.35382,0.1303,2.03924,3.00957,2.96935,0.00158399,0.00158399,0.00158399
