epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,101.075,1.34942,1.35881,1.80796,0.96613,0.29688,0.34209,0.15982,1.96751,4.65392,3.49342,0.00163977,0.00163977,0.00163977
43,103.534,1.41946,1.43882,1.83737,0.75259,0.32812,0.26075,0.08906,2.26222,6.62053,3.6192,0.00163843,0.00163843,0.00163843
44,106.004,1.41206,1.39645,1.85105,0.73986,0.23438,0.2069,0.05414,2.65824,5.54175,4.08952,0.00163707,0.00163707,0.00163707
45,108.486,1.33859,1.32355,1.75733,0.77583,0.15625,0.18769,0.06943,2.20453,3.345,2.95323,0.00163567,0.00163567,0.00163567
46,111.609,1.42778,1.41357,1.86259,0.7405,0.26562,0.19646,0.06307,2.38863,2.63996,3.29079,0.00163424,0.00163424,0.00163424
47,114.429,1.38346,1.32584,1.83773,0.84533,0.32812,0.32735,0.17566,1.93098,2.2361,2.91503,0.00163277,0.00163277,0.00163277
48,117.11,1.3893,1.37551,1.86513,0.74435,0.21875,0.17012,0.06291,2.63978,2.76441,3.69253,0.00163128,0.00163128,0.00163128
49,119.366,1.37011,1.35619,1.82848,0.71171,0.09375,0.0734,0.01452,3.30189,3.3321,4.64459,0.00162976,0.00162976,0.00162976
50,121.587,1.36654,1.3606,1.82304,0.66446,0.10938,0.06833,0.01438,3.04536,3.35418,4.14449,0.0016282,0.0016282,0.0016282
51,123.816,1.43489,1.39214,1.84342,0.81923,0.29688,0.29303,0.14851,1.91265,1.75594,2.71778,0.00162661,0.00162661,0.00162661
52,126.017,1.30054,1.20376,1.756,0.90819,0.3125,0.36356,0.19615,1.90496,1.52776,2.8626,0.001625,0.001625,0.001625
53,128.222,1.3743,1.32108,1.76481,0.94174,0.35556,0.41986,0.20736,1.70604,1.63737,2.82047,0.00162335,0.00162335,0.00162335
54,130.512,1.34089,1.24855,1.7668,0.98898,0.35938,0.42613,0.24746,1.61432,1.36083,2.63896,0.00162167,0.00162167,0.00162167
55,132.668,1.32806,1.25663,1.73736,0.85755,0.3125,0.38169,0.19171,1.75118,1.66889,2.58993,0.00161996,0.00161996,0.00161996
56,134.901,1.33055,1.19536,1.74698,0.91131,0.29002,0.35765,0.14706,1.99277,2.01092,2.91146,0.00161822,0.00161822,0.00161822
57,137.263,1.36024,1.34096,1.77054,0.83891,0.375,0.38058,0.15506,2.01265,1.91633,2.89496,0.00161645,0.00161645,0.00161645
58,139.508,1.34654,1.29752,1.75212,0.81406,0.1875,0.21528,0.0821,2.07417,3.11959,2.90461,0.00161464,0.00161464,0.00161464
59,141.635,1.32191,1.31294,1.77675,0.78978,0.20312,0.21101,0.07693,2.17663,3.40324,2.96688,0.00161281,0.00161281,0.00161281
60,143.809,1.3545,1.28872,1.75069,0.9156,0.30791,0.36976,0.19637,1.70351,1.51131,2.45375,0.00161095,0.00161095,0.00161095
61,145.993,1.21811,1.16037,1.65698,0.91568,0.30826,0.38867,0.20181,1.73067,1.606,2.43284,0.00160905,0.00160905,0.00160905
62,148.201,1.33774,1.23878,1.78174,0.75557,0.3125,0.30772,0.143,1.81363,1.89071,2.687,0.00160713,0.00160713,0.00160713
